=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
LET                      	let            	2	1
STRING                   	string         	2	5
IDENTIFIER               	_s1_           	2	12
DELIMITER                	$              	2	16
LET                      	let            	3	1
BOOL                     	bool           	3	5
IDENTIFIER               	_b1_           	3	10
DELIMITER                	$              	3	14
INT                      	int            	4	1
IDENTIFIER               	funcPrueba     	4	5
LEFT_PAREN               	є              	4	16
RIGHT_PAREN              	э              	4	18
LEFT_BLOCK               	¿              	4	19
RIGHT_BLOCK              	?              	4	20
INT                      	int            	5	1
IDENTIFIER               	func1          	5	5
LEFT_PAREN               	є              	5	11
CHAR                     	char           	5	13
IDENTIFIER               	x22            	5	18
COMMA                    	,              	5	21
CHAR                     	char           	5	22
IDENTIFIER               	x22            	5	27
RIGHT_PAREN              	э              	5	31
LEFT_BLOCK               	¿              	5	34
LET                      	let            	7	2
INT                      	int            	7	6
IDENTIFIER               	numero         	7	10
DELIMITER                	$              	7	16
LET                      	let            	7	18
CHAR                     	char           	7	22
IDENTIFIER               	letra          	7	27
DELIMITER                	$              	7	32
IDENTIFIER               	numero         	8	2
ASSIGN                   	=              	8	9
INT_LITERAL              	10             	8	11
DELIMITER                	$              	8	13
IDENTIFIER               	letra          	9	2
ASSIGN                   	=              	9	8
CHAR_LITERAL             	'a'            	9	10
DELIMITER                	$              	9	13
OUTPUT                   	output         	10	2
IDENTIFIER               	numero         	10	10
DELIMITER                	$              	10	18
OUTPUT                   	output         	11	2
IDENTIFIER               	letra          	11	10
DELIMITER                	$              	11	17
LET                      	let            	12	2
INT                      	int            	12	6
IDENTIFIER               	numS           	12	10
ASSIGN                   	=              	12	15
IDENTIFIER               	numero         	12	17
MINUS_OPERATOR           	-              	12	24
INT_LITERAL              	1              	12	26
MULT_OPERATOR            	*              	12	28
IDENTIFIER               	numero         	12	30
PLUS_OPERATOR            	+              	12	37
IDENTIFIER               	numero         	12	39
DELIMITER                	$              	12	46
OUTPUT                   	output         	13	2
IDENTIFIER               	numS           	13	10
DELIMITER                	$              	13	16
LET                      	let            	15	2
FLOAT                    	float          	15	6
IDENTIFIER               	a              	15	12
ASSIGN                   	=              	15	14
FLOAT_LITERAL            	-0.01          	15	16
DELIMITER                	$              	15	21
LET                      	let            	16	2
CHAR                     	char           	16	6
IDENTIFIER               	x22            	16	11
ASSIGN                   	=              	16	14
CHAR_LITERAL             	'a'            	16	16
DELIMITER                	$              	16	19
LET                      	let            	17	2
CHAR                     	char           	17	6
IDENTIFIER               	_miChar_       	17	11
ASSIGN                   	=              	17	19
CHAR_LITERAL             	'!'            	17	21
DELIMITER                	$              	17	24
LET                      	let            	18	2
CHAR                     	char           	18	6
IDENTIFIER               	_miChar2_      	18	11
ASSIGN                   	=              	18	20
CHAR_LITERAL             	'!'            	18	22
DELIMITER                	$              	18	25
LET                      	let            	19	2
INT                      	int            	19	6
IDENTIFIER               	x30            	19	10
ASSIGN                   	=              	19	14
INT_LITERAL              	-1             	19	15
DELIMITER                	$              	19	17
LET                      	let            	20	2
BOOL                     	bool           	20	6
IDENTIFIER               	_x40_          	20	11
ASSIGN                   	=              	20	16
BOOL_LITERAL             	False          	20	17
DELIMITER                	$              	20	22
LET                      	let            	21	2
INT                      	int            	21	6
IDENTIFIER               	_x50_          	21	10
UNKNOWN                  	[              	21	15
INT_LITERAL              	1000           	21	16
UNKNOWN                  	]              	21	20
ASSIGN                   	=              	21	22
LEFT_BLOCK               	¿              	21	24
