=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
INT                      	int            	1	1
IDENTIFIER               	miFunc1        	1	5
LEFT_PAREN               	є              	1	13
INT                      	int            	1	15
IDENTIFIER               	a              	1	19
COMMA                    	,              	1	20
INT                      	int            	1	22
IDENTIFIER               	b              	1	26
COMMA                    	,              	1	27
INT                      	int            	1	29
IDENTIFIER               	c              	1	33
RIGHT_PAREN              	э              	1	35
LEFT_BLOCK               	¿              	1	36
RETURN                   	return         	2	5
IDENTIFIER               	a              	2	12
PLUS_OPERATOR            	+              	2	13
IDENTIFIER               	b              	2	14
MULT_OPERATOR            	*              	2	16
IDENTIFIER               	c              	2	17
DELIMITER                	$              	2	18
RIGHT_BLOCK              	?              	3	1
VOID                     	void           	5	1
PRINCIPAL                	principal      	5	6
LEFT_PAREN               	є              	5	16
RIGHT_PAREN              	э              	5	18
LEFT_BLOCK               	¿              	5	20
LET                      	let            	6	5
FLOAT                    	float          	6	9
IDENTIFIER               	miBombo        	6	15
ASSIGN                   	=              	6	23
FLOAT_LITERAL            	5.2            	6	25
DELIMITER                	$              	6	28
LET                      	let            	7	5
FLOAT                    	float          	7	9
IDENTIFIER               	flotancito     	7	15
ASSIGN                   	=              	7	26
FLOAT_LITERAL            	5.2            	7	28
PLUS_OPERATOR            	+              	7	31
FLOAT_LITERAL            	3.3            	7	32
MULT_OPERATOR            	*              	7	35
IDENTIFIER               	miBombo        	7	36
DIV_OPERATOR             	/              	7	43
FLOAT_LITERAL            	4.15           	7	44
>>> Error léxico: #1 - Línea 7, Columna 48: Caracter ilegal: '.'
INT_LITERAL              	4              	7	49
DELIMITER                	$              	7	50
LET                      	let            	9	5
INT                      	int            	9	9
IDENTIFIER               	a              	9	13
DELIMITER                	$              	9	14
IDENTIFIER               	a              	10	5
ASSIGN                   	=              	10	7
INT_LITERAL              	1              	10	9
DELIMITER                	$              	10	10
LET                      	let            	11	5
INT                      	int            	11	9
IDENTIFIER               	b              	11	13
DELIMITER                	$              	11	14
LET                      	let            	12	5
BOOL                     	bool           	12	9
IDENTIFIER               	boolcito       	12	14
DELIMITER                	$              	12	22
LET                      	let            	13	5
FLOAT                    	float          	13	9
IDENTIFIER               	floatcito      	13	15
DELIMITER                	$              	13	24
LET                      	let            	14	5
INT                      	int            	14	9
IDENTIFIER               	c              	14	13
ASSIGN                   	=              	14	15
IDENTIFIER               	miFunc1        	14	17
LEFT_PAREN               	є              	14	24
IDENTIFIER               	a              	14	25
COMMA                    	,              	14	26
INT_LITERAL              	4              	14	28
COMMA                    	,              	14	29
INT_LITERAL              	5              	14	31
RIGHT_PAREN              	э              	14	33
DELIMITER                	$              	14	34
IDENTIFIER               	a              	15	5
ASSIGN                   	=              	15	7
INT_LITERAL              	1              	15	9
DELIMITER                	$              	15	10
IDENTIFIER               	a              	16	5
ASSIGN                   	=              	16	7
INT_LITERAL              	5              	16	9
MULT_OPERATOR            	*              	16	11
IDENTIFIER               	a              	16	13
PLUS_OPERATOR            	+              	16	15
IDENTIFIER               	b              	16	17
MULT_OPERATOR            	*              	16	19
INT_LITERAL              	2              	16	20
PLUS_OPERATOR            	+              	16	21
INT_LITERAL              	5              	16	22
PLUS_OPERATOR            	+              	16	23
INT_LITERAL              	10             	16	24
MULT_OPERATOR            	*              	16	26
INT_LITERAL              	5              	16	27
INT_DIV_OPERATOR         	//             	16	28
INT_LITERAL              	2              	16	30
PLUS_OPERATOR            	+              	16	31
IDENTIFIER               	a              	16	32
DELIMITER                	$              	16	33
IDENTIFIER               	b              	17	5
ASSIGN                   	=              	17	7
INT_LITERAL              	5              	17	9
PLUS_OPERATOR            	+              	17	10
INT_LITERAL              	10             	17	11
PLUS_OPERATOR            	+              	17	13
INT_LITERAL              	15             	17	14
MULT_OPERATOR            	*              	17	17
IDENTIFIER               	miFunc1        	17	19
LEFT_PAREN               	є              	17	26
IDENTIFIER               	a              	17	27
COMMA                    	,              	17	28
IDENTIFIER               	b              	17	30
COMMA                    	,              	17	31
INT_LITERAL              	5              	17	33
RIGHT_PAREN              	э              	17	35
DELIMITER                	$              	17	36
LET                      	let            	18	5
BOOL                     	bool           	18	9
IDENTIFIER               	boolcito2      	18	14
ASSIGN                   	=              	18	24
BOOL_LITERAL             	False          	18	26
DELIMITER                	$              	18	31
LET                      	let            	19	5
BOOL                     	bool           	19	9
IDENTIFIER               	prueba         	19	14
ASSIGN                   	=              	19	21
BOOL_LITERAL             	True           	19	23
DELIMITER                	$              	19	27
DECIDE                   	decide         	20	5
UNKNOWN                  	of             	20	12
LEFT_PAREN               	є              	21	5
IDENTIFIER               	boolcito2      	21	7
AND                      	@              	21	17
IDENTIFIER               	prueba         	21	19
RIGHT_PAREN              	э              	21	26
MINUS_OPERATOR           	-              	21	28
GREATER                  	>              	21	29
LEFT_BLOCK               	¿              	21	31
LET                      	let            	22	9
INT                      	int            	22	13
IDENTIFIER               	y              	22	17
ASSIGN                   	=              	22	19
INT_LITERAL              	1              	22	21
DELIMITER                	$              	22	22
RIGHT_BLOCK              	?              	23	5
LEFT_PAREN               	є              	24	5
IDENTIFIER               	b              	24	7
GREATER                  	>              	24	9
IDENTIFIER               	a              	24	11
RIGHT_PAREN              	э              	24	13
MINUS_OPERATOR           	-              	24	15
GREATER                  	>              	24	16
LEFT_BLOCK               	¿              	24	18
LET                      	let            	25	9
INT                      	int            	25	13
IDENTIFIER               	x              	25	17
ASSIGN                   	=              	25	19
INT_LITERAL              	2              	25	21
DELIMITER                	$              	25	22
RIGHT_BLOCK              	?              	27	5
ELSE                     	else           	28	5
MINUS_OPERATOR           	-              	28	10
GREATER                  	>              	28	11
LEFT_BLOCK               	¿              	28	13
LET                      	let            	29	9
INT                      	int            	29	13
IDENTIFIER               	z              	29	17
ASSIGN                   	=              	29	19
INT_LITERAL              	3              	29	21
DELIMITER                	$              	29	22
RIGHT_BLOCK              	?              	31	5
UNKNOWN                  	end            	32	5
DECIDE                   	decide         	32	9
DELIMITER                	$              	32	15
RIGHT_BLOCK              	?              	35	1
----------------------------------------------------------
=== FIN DEL ANÁLISIS ===

>>> TOTAL DE ERRORES LÉXICOS: 1

LISTA DE ERRORES:
  Error léxico: #1 - Línea 7, Columna 48: Caracter ilegal: '.'
