=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
LET                      	let            	1	1
STRING                   	string         	1	5
IDENTIFIER               	_s1_           	1	12
DELIMITER                	$              	1	16
LET                      	let            	2	1
BOOL                     	bool           	2	5
IDENTIFIER               	_b1_           	2	10
DELIMITER                	$              	2	14
INT                      	int            	4	1
IDENTIFIER               	funcPrueba     	4	5
LEFT_PAREN               	є              	4	16
RIGHT_PAREN              	э              	4	18
LEFT_BLOCK               	¿              	4	20
LET                      	let            	5	5
INT                      	int            	5	9
IDENTIFIER               	x              	5	13
ASSIGN                   	=              	5	15
INT_LITERAL              	0              	5	17
DELIMITER                	$              	5	18
LET                      	let            	6	5
INT                      	int            	6	9
IDENTIFIER               	y              	6	13
ASSIGN                   	=              	6	15
IDENTIFIER               	x              	6	17
INCREMENT                	++             	6	18
PLUS_OPERATOR            	+              	6	21
INT_LITERAL              	5              	6	23
DELIMITER                	$              	6	24
RETURN                   	return         	7	5
INT_LITERAL              	42             	7	12
DELIMITER                	$              	7	14
RIGHT_BLOCK              	?              	8	1
INT                      	int            	10	1
IDENTIFIER               	func1          	10	5
LEFT_PAREN               	є              	10	11
CHAR                     	char           	10	13
IDENTIFIER               	x22            	10	18
COMMA                    	,              	10	21
CHAR                     	char           	10	23
IDENTIFIER               	x23            	10	28
RIGHT_PAREN              	э              	10	32
LEFT_BLOCK               	¿              	10	34
LET                      	let            	11	5
INT                      	int            	11	9
IDENTIFIER               	numero         	11	13
DELIMITER                	$              	11	19
LET                      	let            	12	5
CHAR                     	char           	12	9
IDENTIFIER               	letra          	12	14
DELIMITER                	$              	12	19
IDENTIFIER               	numero         	13	5
ASSIGN                   	=              	13	12
INT_LITERAL              	10             	13	14
DELIMITER                	$              	13	16
IDENTIFIER               	letra          	14	5
ASSIGN                   	=              	14	11
CHAR_LITERAL             	'a'            	14	13
DELIMITER                	$              	14	16
OUTPUT                   	output         	15	5
IDENTIFIER               	numero         	15	12
DELIMITER                	$              	15	18
LET                      	let            	16	5
INT                      	int            	16	9
IDENTIFIER               	numS           	16	13
ASSIGN                   	=              	16	18
IDENTIFIER               	numero         	16	20
MINUS_OPERATOR           	-              	16	27
INT_LITERAL              	1              	16	29
MULT_OPERATOR            	*              	16	31
IDENTIFIER               	numero         	16	33
PLUS_OPERATOR            	+              	16	40
IDENTIFIER               	numero         	16	42
DELIMITER                	$              	16	48
OUTPUT                   	output         	17	5
IDENTIFIER               	numS           	17	12
DELIMITER                	$              	17	16
LET                      	let            	18	5
FLOAT                    	float          	18	9
IDENTIFIER               	a              	18	15
ASSIGN                   	=              	18	17
FLOAT_LITERAL            	0.01           	18	19
DELIMITER                	$              	18	23
LET                      	let            	19	5
CHAR                     	char           	19	9
IDENTIFIER               	_miChar_       	19	14
ASSIGN                   	=              	19	23
CHAR_LITERAL             	'!'            	19	25
DELIMITER                	$              	19	28
LET                      	let            	20	5
CHAR                     	char           	20	9
IDENTIFIER               	_miChar2_      	20	14
ASSIGN                   	=              	20	24
CHAR_LITERAL             	'@'            	20	26
DELIMITER                	$              	20	29
LET                      	let            	21	5
INT                      	int            	21	9
IDENTIFIER               	x30            	21	13
ASSIGN                   	=              	21	17
INT_LITERAL              	1              	21	19
DELIMITER                	$              	21	20
LET                      	let            	22	5
BOOL                     	bool           	22	9
IDENTIFIER               	_x40_          	22	14
ASSIGN                   	=              	22	20
BOOL_LITERAL             	False          	22	22
DELIMITER                	$              	22	27
LET                      	let            	23	5
INT                      	int            	23	9
IDENTIFIER               	pesito         	23	13
ASSIGN                   	=              	23	20
INT_LITERAL              	3              	23	22
DELIMITER                	$              	23	23
LET                      	let            	24	5
INT                      	int            	24	9
IDENTIFIER               	_x50_          	24	13
UNKNOWN                  	[              	24	18
INT_LITERAL              	2              	24	19
PLUS_OPERATOR            	+              	24	20
IDENTIFIER               	pesito         	24	21
UNKNOWN                  	]              	24	27
ASSIGN                   	=              	24	29
LEFT_BLOCK               	¿              	24	31
INT_LITERAL              	4              	24	32
COMMA                    	,              	24	33
INT_LITERAL              	5              	24	35
RIGHT_BLOCK              	?              	24	36
DELIMITER                	$              	24	37
LET                      	let            	25	5
STRING                   	string         	25	9
IDENTIFIER               	_x51_          	25	16
ASSIGN                   	=              	25	22
STRING_LITERAL           	"Hola a todos los que estan haciendo un compilador nuevo"	25	24
DELIMITER                	$              	25	81
DECIDE                   	decide         	27	5
UNKNOWN                  	of             	27	12
LEFT_PAREN               	є              	28	5
IDENTIFIER               	x30            	28	7
LESS_EQUAL               	<=             	28	11
INT_LITERAL              	45             	28	14
AND                      	@              	28	17
LEFT_PAREN               	є              	28	19
IDENTIFIER               	a              	28	21
GREATER                  	>              	28	23
FLOAT_LITERAL            	0.006          	28	25
RIGHT_PAREN              	э              	28	31
RIGHT_PAREN              	э              	28	33
MINUS_OPERATOR           	-              	28	35
GREATER                  	>              	28	36
LEFT_BLOCK               	¿              	28	38
LET                      	let            	29	9
INT                      	int            	29	13
IDENTIFIER               	y              	29	17
DELIMITER                	$              	29	18
IDENTIFIER               	x23            	30	9
ASSIGN                   	=              	30	13
CHAR_LITERAL             	'a'            	30	15
DELIMITER                	$              	30	18
LET                      	let            	31	9
CHAR                     	char           	31	13
IDENTIFIER               	ch33           	31	18
ASSIGN                   	=              	31	23
CHAR_LITERAL             	'a'            	31	25
DELIMITER                	$              	31	28
RIGHT_BLOCK              	?              	32	5
LEFT_PAREN               	є              	33	5
IDENTIFIER               	x30            	33	7
GREATER_EQUAL            	>=             	33	11
INT_LITERAL              	3              	33	14
RIGHT_PAREN              	э              	33	16
MINUS_OPERATOR           	-              	33	18
GREATER                  	>              	33	19
LEFT_BLOCK               	¿              	33	21
LET                      	let            	34	9
INT                      	int            	34	13
IDENTIFIER               	y              	34	17
DELIMITER                	$              	34	18
IDENTIFIER               	x30            	35	9
ASSIGN                   	=              	35	13
INT_LITERAL              	10             	35	15
DELIMITER                	$              	35	17
LET                      	let            	36	9
CHAR                     	char           	36	13
IDENTIFIER               	ch33           	36	18
ASSIGN                   	=              	36	23
CHAR_LITERAL             	'a'            	36	25
DELIMITER                	$              	36	28
RIGHT_BLOCK              	?              	37	5
ELSE                     	else           	38	5
MINUS_OPERATOR           	-              	38	10
GREATER                  	>              	38	11
LEFT_BLOCK               	¿              	38	13
LET                      	let            	39	9
INT                      	int            	39	13
IDENTIFIER               	y              	39	17
DELIMITER                	$              	39	18
LET                      	let            	40	9
STRING                   	string         	40	13
IDENTIFIER               	str2           	40	20
ASSIGN                   	=              	40	25
STRING_LITERAL           	"sdff"         	40	27
DELIMITER                	$              	40	33
RIGHT_BLOCK              	?              	41	5
UNKNOWN                  	end            	42	5
DECIDE                   	decide         	42	9
DELIMITER                	$              	42	15
LET                      	let            	44	5
INT                      	int            	44	9
IDENTIFIER               	_i_            	44	13
DELIMITER                	$              	44	16
FOR                      	for            	45	5
IDENTIFIER               	_i_            	45	9
ASSIGN                   	=              	45	13
INT_LITERAL              	0              	45	15
DELIMITER                	$              	45	16
STEP                     	step           	45	18
INT_LITERAL              	1              	45	23
TO                       	to             	45	25
INT_LITERAL              	10             	45	28
DO                       	do             	45	31
LEFT_BLOCK               	¿              	45	34
OUTPUT                   	output         	46	9
IDENTIFIER               	_i_            	46	16
DELIMITER                	$              	46	19
