=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
INT                      	int            	1	1
IDENTIFIER               	miFunc1        	1	5
LEFT_PAREN               	є              	1	13
INT                      	int            	1	15
IDENTIFIER               	a              	1	19
COMMA                    	,              	1	20
INT                      	int            	1	22
IDENTIFIER               	b              	1	26
COMMA                    	,              	1	27
INT                      	int            	1	29
IDENTIFIER               	c              	1	33
RIGHT_PAREN              	э              	1	35
LEFT_BLOCK               	¿              	1	36
LET                      	let            	2	5
INT                      	int            	2	9
IDENTIFIER               	d              	2	13
ASSIGN                   	=              	2	15
INT_LITERAL              	69             	2	17
DELIMITER                	$              	2	19
RETURN                   	return         	3	5
IDENTIFIER               	a              	3	12
PLUS_OPERATOR            	+              	3	13
IDENTIFIER               	b              	3	14
MULT_OPERATOR            	*              	3	16
IDENTIFIER               	c              	3	17
MULT_OPERATOR            	*              	3	19
IDENTIFIER               	d              	3	20
DELIMITER                	$              	3	21
RIGHT_BLOCK              	?              	4	1
VOID                     	void           	6	1
PRINCIPAL                	principal      	6	6
LEFT_PAREN               	є              	6	16
RIGHT_PAREN              	э              	6	18
LEFT_BLOCK               	¿              	6	20
LET                      	let            	8	5
INT                      	int            	8	9
IDENTIFIER               	a              	8	13
DELIMITER                	$              	8	14
IDENTIFIER               	a              	9	5
ASSIGN                   	=              	9	7
INT_LITERAL              	1              	9	9
DELIMITER                	$              	9	10
LET                      	let            	10	5
INT                      	int            	10	9
IDENTIFIER               	b              	10	13
DELIMITER                	$              	10	14
IDENTIFIER               	b              	11	5
ASSIGN                   	=              	11	7
INT_LITERAL              	5              	11	9
DELIMITER                	$              	11	10
LET                      	let            	12	5
BOOL                     	bool           	12	9
IDENTIFIER               	boolcito       	12	14
DELIMITER                	$              	12	22
LET                      	let            	13	5
FLOAT                    	float          	13	9
IDENTIFIER               	floatcito      	13	15
DELIMITER                	$              	13	24
LET                      	let            	15	5
INT                      	int            	15	9
IDENTIFIER               	c              	15	13
ASSIGN                   	=              	15	15
IDENTIFIER               	miFunc1        	15	17
LEFT_PAREN               	є              	15	25
IDENTIFIER               	a              	15	27
COMMA                    	,              	15	28
INT_LITERAL              	2              	15	30
COMMA                    	,              	15	31
INT_LITERAL              	6              	15	33
RIGHT_PAREN              	э              	15	35
DELIMITER                	$              	15	36
IDENTIFIER               	a              	16	5
ASSIGN                   	=              	16	7
INT_LITERAL              	1              	16	9
DELIMITER                	$              	16	10
IDENTIFIER               	a              	17	5
ASSIGN                   	=              	17	7
INT_LITERAL              	5              	17	9
MULT_OPERATOR            	*              	17	11
IDENTIFIER               	a              	17	13
PLUS_OPERATOR            	+              	17	15
IDENTIFIER               	b              	17	17
MULT_OPERATOR            	*              	17	19
INT_LITERAL              	2              	17	20
PLUS_OPERATOR            	+              	17	21
INT_LITERAL              	5              	17	22
PLUS_OPERATOR            	+              	17	23
INT_LITERAL              	10             	17	24
MULT_OPERATOR            	*              	17	26
INT_LITERAL              	5              	17	27
INT_DIV_OPERATOR         	//             	17	28
INT_LITERAL              	2              	17	30
PLUS_OPERATOR            	+              	17	31
IDENTIFIER               	a              	17	32
DELIMITER                	$              	17	33
IDENTIFIER               	b              	18	5
ASSIGN                   	=              	18	7
INT_LITERAL              	5              	18	9
PLUS_OPERATOR            	+              	18	10
INT_LITERAL              	10             	18	11
PLUS_OPERATOR            	+              	18	13
INT_LITERAL              	15             	18	14
MULT_OPERATOR            	*              	18	17
IDENTIFIER               	miFunc1        	18	19
LEFT_PAREN               	є              	18	26
IDENTIFIER               	a              	18	27
COMMA                    	,              	18	28
IDENTIFIER               	b              	18	30
COMMA                    	,              	18	31
INT_LITERAL              	5              	18	33
RIGHT_PAREN              	э              	18	35
DELIMITER                	$              	18	36
IDENTIFIER               	boolcito       	19	5
ASSIGN                   	=              	19	14
BOOL_LITERAL             	False          	19	16
DELIMITER                	$              	19	21
RIGHT_BLOCK              	?              	24	1
----------------------------------------------------------
=== FIN DEL ANÁLISIS ===
✓ Sin errores léxicos
